pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1336 c,Kepler-1336,0.0621,1.03,0.86,1.03,0.86,91.11417585,7.760321271
Kepler-1338 b,Kepler-1338,,0.92,1.05,0.92,1.05,124.5449712,0
Kepler-134 c,Kepler-134,0.0988,1.63,1.53,1.63,1.53,102.4303251,6.939881677
Kepler-1340 b,Kepler-1340,0.015,0.94,0.91,0.94,0.91,105.6424011,1.771480674
Kepler-1346 b,Kepler-1346,,1.58,1.21,1.58,1.21,83.57050145,0
Kepler-1347 b,Kepler-1347,0.104,0.98,0.77,0.98,0.77,85.74116382,14.51540528
Kepler-135 b,Kepler-135,,1.91,1.35,1.91,1.35,77.13031872,0
Kepler-135 c,Kepler-135,,1.392,1.43,1.392,1.43,112.1041079,0
Kepler-1351 b,Kepler-1351,,0.551,0.56,0.551,0.56,110.9075605,0
Kepler-1357 b,Kepler-1357,0.041,1.22,0.89,1.22,0.89,79.60766775,4.950857226
Kepler-1358 b,Kepler-1358,0.0656,1.16,0.82,1.16,0.82,77.14016933,8.597586207
Kepler-1361 b,Kepler-1361,,0.749,0.77,0.749,0.77,112.1847003,0
Kepler-1364 b,Kepler-1364,0.122,1.7,1.44,1.7,1.44,92.43539372,9.105082615
Kepler-1365 b,Kepler-1365,,0.92,1.05,0.92,1.05,124.5449712,0
Kepler-1367 b,Kepler-1367,,0.899,0.63,0.899,0.63,76.47255182,0
Kepler-1368 b,Kepler-1368,0.0153,1.36,0.96,1.36,0.96,77.02949477,1.712800377
Kepler-1370 b,Kepler-1370,0.1563,1.77,1.28,1.77,1.28,78.91533928,13.12307348
Kepler-1370 c,Kepler-1370,,1.27,1.29,1.27,1.29,110.8436234,0
Kepler-1371 b,Kepler-1371,,0.943,0.96,0.943,0.96,111.0923785,0
Kepler-1371 c,Kepler-1371,0.0274,0.65,0.72,0.65,0.72,120.8770533,4.089823994
Kepler-1372 b,Kepler-1372,,1.266,1.06,1.266,1.06,91.36858187,0
Kepler-1373 b,Kepler-1373,,1.16,1.33,1.16,1.33,125.1175917,0
Kepler-1375 b,Kepler-1375,,2.119,2.13,2.119,2.13,109.6916,0
Kepler-1376 b,Kepler-1376,,1.05,0.97,1.05,0.97,100.8108229,0
Kepler-1377 b,Kepler-1377,0.0153,1.22,0.87,1.22,0.87,77.8187314,1.889986623
Kepler-138 b,Kepler-138,,0.46,0.45,0.46,0.45,106.7528324,0
Kepler-1380 b,Kepler-1380,,2.732,1.93,2.732,1.93,77.09058454,0
Kepler-1382 b,Kepler-1382,0.1307,1.08,1.01,1.08,1.01,102.0521933,13.90723412
Kepler-1383 b,Kepler-1383,,1.41,1.44,1.41,1.44,111.4469286,0
Kepler-1386 b,Kepler-1386,0.0699,1.09,0.93,1.09,0.93,93.10675171,8.077570912
Kepler-1387 b,Kepler-1387,0.031,0.87,0.8,0.87,0.8,100.3449357,4.164455819
Kepler-1390 b,Kepler-1390,0.0647,0.92,0.79,0.92,0.79,93.70526402,8.801642842
Kepler-1391 b,Kepler-1391,,2.2,1.6,2.2,1.6,79.36372188,0
Kepler-1393 b,Kepler-1393,,0.8,0.92,0.8,0.92,125.4938852,0
Kepler-1396 b,Kepler-1396,0.1406,1.78,1.26,1.78,1.26,77.24586976,11.99226806
